X,Y,Datetime,Lat,Lon,FRP(mw),Firesize(km^2),temp(k),Category,Description
-1495144.383614062331617,-3719793.658014150336385,2016-01-02 04:20:00,-33.2308,115.8064,-9999,-9999,-9999,15, Low Possibility
-1488361.08588210074231,-3661614.98403927218169,2016-01-02 04:30:00,-32.7218,115.9578,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 04:30:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 04:30:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1488361.08588210074231,-3661614.98403927218169,2016-01-02 04:40:00,-32.7218,115.9578,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 04:40:00,-32.8683,115.882,104.26,-9999,-9999,14, Medium Possibility
-1505520.357364820782095,-3683699.878589752595872,2016-01-02 04:40:00,-32.8985,115.7447,69.29,0.294628,401.4,10, Processed
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 04:40:00,-32.8901,115.9251,107.36,-9999,-9999,14, Medium Possibility
-1489451.846326211467385,-3683446.053416844923049,2016-01-02 04:40:00,-32.9144,115.9167,-9999,-9999,-9999,15, Low Possibility
-1493108.487504864577204,-3692243.000953264534473,2016-01-02 04:40:00,-32.9884,115.8657,94.37,-9999,-9999,14, Medium Possibility
-1488361.08588210074231,-3661614.98403927218169,2016-01-02 04:50:00,-32.7218,115.9578,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 04:50:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 04:50:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1489451.846326211467385,-3683446.053416844923049,2016-01-02 04:50:00,-32.9144,115.9167,-9999,-9999,-9999,15, Low Possibility
-1451722.138867161935195,-3720012.257459301035851,2016-01-02 04:50:00,-33.2812,116.2716,-9999,-9999,-9999,12, Cloudy
-1451434.587009337963536,-3747220.325315358582884,2016-01-02 04:50:00,-33.5234,116.2385,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 05:00:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 05:00:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1489451.846326211467385,-3683446.053416844923049,2016-01-02 05:00:00,-32.9144,115.9167,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 05:10:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 05:10:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1489451.846326211467385,-3683446.053416844923049,2016-01-02 05:10:00,-32.9144,115.9167,-9999,-9999,-9999,15, Low Possibility
-1461718.657914937473834,-3710946.004245591815561,2016-01-02 05:10:00,-33.1896,116.1765,6.67,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 05:20:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 05:20:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1489451.846326211467385,-3683446.053416844923049,2016-01-02 05:20:00,-32.9144,115.9167,-9999,-9999,-9999,15, Low Possibility
-1489705.015069418819621,-3699760.889970639254898,2016-01-02 05:20:00,-33.059,115.8919,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 05:30:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1493296.430581914260983,-3678741.18167072115466,2016-01-02 05:40:00,-32.8683,115.882,-9999,-9999,-9999,15, Low Possibility
-1489018.761314935050905,-3680654.597188755404204,2016-01-02 05:40:00,-32.8901,115.9251,-9999,-9999,-9999,15, Low Possibility
-1456161.916367722209543,-3645004.175524409394711,2016-01-02 05:50:00,-32.61,116.3232,-9999,-9999,-9999,15, Low Possibility
