FID,id,satellite,satellite_nssdc_id,satellite_operating_agency,sensor,orbit,start_dt,stop_dt,filename,process_dt,process_algorithm,process_algorithm_version,load_dt,latitude,longitude,location,temp_kelvin,datetime,power,confidence,age_hours,australian_state
hotspot_historic.fid-63ecba5d_1599bad38c1_4f58,10711011,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.6276,124.096,POINT (13814298.520104993 -1877522.6168326114),,2016-01-05T05:22:09,,99,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f59,10711012,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.6175,124.1169,POINT (13816629.884200675 -1876343.330294167),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f5a,10711013,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.6186,124.1096,POINT (13815811.908582322 -1876476.4630564575),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f5b,10711014,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.6198,124.1022,POINT (13814992.374491107 -1876609.4804407884),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f5c,10711015,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.7283,123.0398,POINT (13696723.875804555 -1889216.863482201),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f5d,10711017,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.7227,123.0315,POINT (13695799.92403097 -1888569.4237085595),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f5e,10711043,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-20.6136,122.5446,POINT (13641607.703481458 -2345863.940919586),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f5f,10711044,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-20.6068,122.5436,POINT (13641487.14447293 -2345057.4665211393),,2016-01-05T05:22:09,,63,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f60,10711045,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-19.0458,127.7472,POINT (14220749.02412583 -2160331.456577421),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f61,10711042,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-20.6127,122.5996,POINT (13647720.145401426 -2345752.9757144926),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f62,10711018,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.7238,123.0242,POINT (13694994.75015406 -1888696.4691959734),,2016-01-05T05:22:09,,99,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f63,10711019,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.7171,123.0232,POINT (13694874.97038197 -1887922.1190768091),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f64,10711020,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.7105,123.0221,POINT (13694754.411373442 -1887147.912226605),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f65,10711021,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.7038,123.021,POINT (13694634.631601345 -1886373.3837258855),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f66,10711022,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.7049,123.0138,POINT (13693830.348280365 -1886500.1841850653),,2016-01-05T05:22:09,,96,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f67,10711023,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.698,123.0197,POINT (13694491.92001415 -1885700.3422714318),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f68,10711024,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.6991,123.0125,POINT (13693687.636693163 -1885827.1388853372),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f69,10711025,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.6914,123.0186,POINT (13694371.361005617 -1884926.096716997),,2016-01-05T05:22:09,,96,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f6a,10710998,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-25.5005,122.5073,POINT (13637451.25633422 -2937351.284625072),,2016-01-05T05:22:09,,100,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f6b,10711016,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21704,2016-01-05T05:14:21,2016-01-05T05:29:58,Npp20160105T051421Z20160105T052958Zhotspots.txt,,VIIRS (AER),6,,-16.7294,123.0325,POINT (13695919.592483573 -1889343.7964418684),,2016-01-05T05:22:09,,77,8900,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f3c,10706306,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-22.9558,117.7779,POINT (13110979.30560531 -2626673.060779065),355.1,2016-01-05T06:10:00,47.1,97,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f3d,10706302,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-31.8616,115.8977,POINT (12901667.604776023 -3745155.5829538),326.7,2016-01-05T06:10:00,5.7,46,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f3e,10706312,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-16.7018,123.004,POINT (13692747.543593416 -1886136.4047917903),325.1,2016-01-05T06:07:50,11,47,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f3f,10706304,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-29.2264,120.1438,POINT (13374344.856857048 -3404497.8253831626),336.2,2016-01-05T06:06:20,32.5,50,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f40,10706309,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-16.7238,123.0173,POINT (13694224.419277772 -1888692.2847035462),330,2016-01-05T06:05:10,17.8,48,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f41,10706303,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-31.7965,115.8348,POINT (12894669.282348327 -3736621.083888069),325.6,2016-01-05T06:05:10,6.8,72,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f42,10706308,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-16.6328,124.094,POINT (13814083.673487758 -1878118.4991591058),332,2016-01-05T06:05:10,13.1,84,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f43,10706307,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-22.9457,117.7759,POINT (13110757.668499144 -2625458.1259893836),340.9,2016-01-05T06:05:10,17.9,90,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f44,10706301,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-31.9921,115.946,POINT (12907049.568197405 -3762270.9177114805),329.3,2016-01-05T06:05:00,6.9,22,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f45,10706310,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-16.7347,123.0113,POINT (13693553.496706763 -1889968.0103137202),326.9,2016-01-05T06:05:00,12.1,56,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f46,10706305,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-22.9537,117.7906,POINT (13112394.287652783 -2626415.4387088437),347.1,2016-01-05T06:05:00,29.4,94,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f47,10706311,AQUA,2002-022A,NASA,MODIS,72724,2016-01-05T06:05:04,2016-01-05T06:14:44,Aqua20160105T060504Z20160105T061444Zhotspots.txt,,MOD14,5.0.1,,-16.7182,123.0078,POINT (13693167.885990648 -1888048.695924679),325.7,2016-01-05T06:05:00,11.7,60,8899,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f38,10706322,TERRA,1999-068A,NASA,MODIS,85368,2016-01-05T13:51:28,2016-01-05T14:04:54,Terra20160105T135128Z20160105T140454Zhotspots.txt,,MOD14,5.0.1,,-20.5573,124.8589,POINT (13899225.161506597 -2339164.667540452),322.6,2016-01-05T13:55:20,22.1,0,8891,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f39,10706323,TERRA,1999-068A,NASA,MODIS,85368,2016-01-05T13:51:28,2016-01-05T14:04:54,Terra20160105T135128Z20160105T140454Zhotspots.txt,,MOD14,5.0.1,,-20.5592,124.8407,POINT (13897198.7014962 -2339397.8127516946),326.4,2016-01-05T13:51:40,27.4,47,8891,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f3a,10706324,TERRA,1999-068A,NASA,MODIS,85368,2016-01-05T13:51:28,2016-01-05T14:04:54,Terra20160105T135128Z20160105T140454Zhotspots.txt,,MOD14,5.0.1,,-20.4121,122.876,POINT (13678493.63939479 -2321913.551012467),330.6,2016-01-05T13:51:30,41.6,82,8891,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f3b,10706325,TERRA,1999-068A,NASA,MODIS,85368,2016-01-05T13:51:28,2016-01-05T14:04:54,Terra20160105T135128Z20160105T140454Zhotspots.txt,,MOD14,5.0.1,,-20.4078,122.8703,POINT (13677859.229616761 -2321398.894324591),324.4,2016-01-05T13:51:30,32.5,56,8891,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f33,10709382,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21711,2016-01-05T16:30:09,2016-01-05T16:44:15,Npp20160105T163009Z20160105T164415Zhotspots.txt,,VIIRS (AER),6,,-28.672,122.7674,POINT (13666404.787972605 -3333968.7875569193),,2016-01-05T16:37:12,,75,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f34,10709381,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21711,2016-01-05T16:30:09,2016-01-05T16:44:15,Npp20160105T163009Z20160105T164415Zhotspots.txt,,VIIRS (AER),6,,-28.6682,122.7752,POINT (13667271.855486397 -3333480.4465694036),,2016-01-05T16:37:12,,25,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f35,10709380,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21711,2016-01-05T16:30:09,2016-01-05T16:44:15,Npp20160105T163009Z20160105T164415Zhotspots.txt,,VIIRS (AER),6,,-28.6662,122.7646,POINT (13666088.863257736 -3333223.532362199),,2016-01-05T16:37:12,,58,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f36,10709379,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21711,2016-01-05T16:30:09,2016-01-05T16:44:15,Npp20160105T163009Z20160105T164415Zhotspots.txt,,VIIRS (AER),6,,-14.5702,125.9183,POINT (14017161.482832624 -1639719.3555422327),,2016-01-05T16:37:12,,85,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f37,10709378,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21711,2016-01-05T16:30:09,2016-01-05T16:44:15,Npp20160105T163009Z20160105T164415Zhotspots.txt,,VIIRS (AER),6,,-20.4431,124.7976,POINT (13892409.514363287 -2325593.299302199),,2016-01-05T16:37:12,,100,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f23,10706380,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.6622,125.6095,POINT (13982782.684490934 -2351638.995145531),324.2,2016-01-05T17:07:10,23.6,100,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f24,10706375,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.6529,125.6109,POINT (13982941.537404297 -2350538.536773043),328.9,2016-01-05T17:04:20,30.6,100,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f25,10706373,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.6501,125.5907,POINT (13980687.429035226 -2350207.4606194757),346.7,2016-01-05T17:04:20,59.9,100,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f26,10706374,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.6515,125.6008,POINT (13981814.538879508 -2350372.819492986),362.9,2016-01-05T17:04:20,100.2,100,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f27,10706379,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.6608,125.5994,POINT (13981655.685966145 -2351473.148807742),375.6,2016-01-05T17:04:20,141.3,100,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f28,10706376,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.5486,124.8002,POINT (13892695.716774119 -2338136.7718079477),318.5,2016-01-05T17:04:20,17.5,69,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f29,10706383,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-28.668,122.7687,POINT (13666549.9485886 -3333451.900301221),306.1,2016-01-05T17:03:10,14,39,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f2a,10706369,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-16.7193,123.0272,POINT (13695325.925639173 -1888172.1351995522),307.5,2016-01-05T17:02:30,7.3,40,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f2b,10706378,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.6594,125.5892,POINT (13980528.687441355 -2351307.0660516783),393.1,2016-01-05T17:02:20,216.7,100,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f2c,10706368,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-16.7083,123.0186,POINT (13694368.800657326 -1886898.4887823001),307.2,2016-01-05T17:01:30,6.8,30,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f2d,10706371,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.1594,125.3001,POINT (13948344.441541167 -2291918.062961618),309.8,2016-01-05T17:01:30,8.2,68,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f2e,10706382,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-25.2964,122.7363,POINT (13662944.644240279 -2912190.1515671005),310.2,2016-01-05T17:01:20,9.7,70,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f2f,10706364,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-14.5671,125.9245,POINT (14017851.997634018 -1639358.0850660831),312.2,2016-01-05T17:01:20,10.2,78,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f30,10706377,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.658,125.5791,POINT (13979403.35870892 -2351141.2227590336),328.8,2016-01-05T17:01:20,29.1,100,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f31,10706372,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-20.5382,124.792,POINT (13891778.44416998 -2336896.502675486),308.8,2016-01-05T17:01:20,8,27,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f32,10706381,AQUA,2002-022A,NASA,MODIS,72731,2016-01-05T17:01:19,2016-01-05T17:13:10,Aqua20160105T170119Z20160105T171310Zhotspots.txt,,MOD14,5.0.1,,-22.9513,117.7773,POINT (13110906.280019354 -2626135.5770041556),307.6,2016-01-05T17:01:20,8.1,7,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4ef2,10706411,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.65,125.56,POINT (13977275.264003431 -2350193.423029333),304.9,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4ef3,10706384,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-14.57,125.92,POINT (14017350.280689009 -1639693.476397137),303.5,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4ef4,10706385,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-14.58,125.92,POINT (14017350.280689009 -1640843.6861321216),304,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4ef5,10706395,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.16,125.29,POINT (13947219.001489244 -2291994.787115816),308.7,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4ef6,10706396,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.16,125.3,POINT (13948332.196397178 -2291994.787115816),307.3,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4ef7,10706397,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.16,125.31,POINT (13949445.39130511 -2291994.787115816),307.3,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4ef8,10706398,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.48,124.76,POINT (13888219.671368808 -2329981.0530488202),311.4,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4ef9,10706399,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.49,124.76,POINT (13888219.671368808 -2331169.3940807316),313.3,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4efa,10706400,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.49,124.77,POINT (13889332.866276747 -2331169.3940807316),313.4,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4efb,10706401,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.49,124.78,POINT (13890446.061184673 -2331169.3940807316),303,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4efc,10706402,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.5,124.78,POINT (13890446.061184673 -2332357.8126193313),306.9,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4efd,10706403,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.5,124.79,POINT (13891559.256092612 -2332357.8126193313),306.9,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4efe,10706404,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.54,124.85,POINT (13898238.425540207 -2337112.2627671524),308.7,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4eff,10706405,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.54,124.86,POINT (13899351.620448135 -2337112.2627671524),308.3,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f00,10706406,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.55,124.89,POINT (13902691.205171937 -2338301.0695342217),308.4,2016-01-05T17:29:42,,,8888,WA 
hotspot_historic.fid-63ecba5d_1599bad38c1_4f01,10706407,NOAA 19,2009-005A,NOAA,AVHRR,35607,2016-01-05T17:21:39,2016-01-05T17:37:46,Noaa1920160105T172139Z20160105T173746Zhotspots.txt,,GA AVHRR,1.0.0,,-20.55,124.9,POINT (13903804.40007987 -2338301.0695342217),311,2016-01-05T17:29:42,,,8888,WA 
