X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,id,satellite,satellite_,satellit_1,sensor,orbit,start_dt,stop_dt,filename,process_dt,process_al,process__1,load_dt,latitude,longitude,temp_kelvi,datetime,power,confidence,age_hours,australian,hold_dt,hold_dt_2
-1468724.65765335,-3683131.23606485,,,,,,,-1,0,-1,,,10723390,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9347,116.1386,,2016-01-13T17:26:20Z,,28,6986,WA,2016-01-14,2016-01-14T05:19:16Z
-1471296.45379677,-3683816.25641293,,,,,,,-1,0,-1,,,10723392,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9380,116.1102,,2016-01-13T17:26:20Z,,100,6986,WA,2016-01-14,2016-01-14T05:19:16Z
-1468749.51077644,-3683915.59236211,,,,,,,-1,0,-1,,,10723395,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9417,116.1373,,2016-01-13T17:26:20Z,,100,6986,WA,2016-01-14,2016-01-14T05:19:16Z
-1469600.96559645,-3683881.49138707,,,,,,,-1,0,-1,,,10723394,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9404,116.1283,,2016-01-13T17:26:20Z,,100,6986,WA,2016-01-14,2016-01-14T05:19:16Z
-1470450.0646707,-3683849.18245645,,,,,,,-1,0,-1,,,10723393,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21826,2016-01-13T17:19:16Z,2016-01-13T17:33:25Z,Npp20160113T171916Z20160113T173325Zhotspots.txt,,VIIRS (AER),6,,-32.9392,116.1192,,2016-01-13T17:26:20Z,,100,6986,WA,2016-01-14,2016-01-14T05:19:16Z
-1465535.2013178,-3681592.12903514,,,,,,,-1,0,-1,,,10720046,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9246,116.1748,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1466532.89452591,-3683902.83222418,,,,,,,-1,0,-1,,,10720039,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9440,116.1610,,2016-01-13T06:12:10Z,,92,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1465758.45583078,-3683645.80384498,,,,,,,-1,0,-1,,,10720038,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9426,116.1696,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1464993.06757886,-3683390.29386095,,,,,,,-1,0,-1,,,10720037,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9412,116.1782,,2016-01-13T06:12:10Z,,100,6997,WA,2016-01-13,2016-01-13T18:06:35Z
-1466060.23805245,-3682574.874393,,,,,,,-1,0,-1,,,10720044,SUOMI NPP,2011-061A,NASA/NOAA,VIIRS,21819,2016-01-13T06:06:35Z,2016-01-13T06:17:45Z,Npp20160113T060635Z20160113T061745Zhotspots.txt,,VIIRS (AER),6,,-32.9327,116.1678,,2016-01-13T06:12:10Z,,99,6997,WA,2016-01-13,2016-01-13T18:06:35Z
