0.000124	0.000277	0.000534	0.00089	0.001283	0.001597	0.001718	0.001597	0.001283	0.00089	0.000534	0.000277	0.000124
0.000277	0.000618	0.001193	0.001989	0.002866	0.003568	0.003838	0.003568	0.002866	0.001989	0.001193	0.000618	0.000277
0.000534	0.001193	0.002302	0.003838	0.005531	0.006886	0.007408	0.006886	0.005531	0.003838	0.002302	0.001193	0.000534
0.00089	0.001989	0.003838	0.006401	0.009224	0.011484	0.012355	0.011484	0.009224	0.006401	0.003838	0.001989	0.00089
0.001283	0.002866	0.005531	0.009224	0.013291	0.016548	0.017802	0.016548	0.013291	0.009224	0.005531	0.002866	0.001283
0.001597	0.003568	0.006886	0.011484	0.016548	0.020603	0.022165	0.020603	0.016548	0.011484	0.006886	0.003568	0.001597
0.001718	0.003838	0.007408	0.012355	0.017802	0.022165	0.023845	0.022165	0.017802	0.012355	0.007408	0.003838	0.001718
0.001597	0.003568	0.006886	0.011484	0.016548	0.020603	0.022165	0.020603	0.016548	0.011484	0.006886	0.003568	0.001597
0.001283	0.002866	0.005531	0.009224	0.013291	0.016548	0.017802	0.016548	0.013291	0.009224	0.005531	0.002866	0.001283
0.00089	0.001989	0.003838	0.006401	0.009224	0.011484	0.012355	0.011484	0.009224	0.006401	0.003838	0.001989	0.00089
0.000534	0.001193	0.002302	0.003838	0.005531	0.006886	0.007408	0.006886	0.005531	0.003838	0.002302	0.001193	0.000534
0.000277	0.000618	0.001193	0.001989	0.002866	0.003568	0.003838	0.003568	0.002866	0.001989	0.001193	0.000618	0.000277
0.000124	0.000277	0.000534	0.00089	0.001283	0.001597	0.001718	0.001597	0.001283	0.00089	0.000534	0.000277	0.000124
